att_name,sig_event_number,Timestamp,value
1055,1,2018-07-04 08:30:00,0.0
1055,1,2018-07-04 08:35:00,0.04
1055,1,2018-07-04 08:40:00,0.04
1055,1,2018-07-04 08:45:00,0.04
1055,1,2018-07-04 08:50:00,0.0
1055,1,2018-07-04 08:55:00,0.04
1055,1,2018-07-04 09:00:00,0.0
1055,1,2018-07-04 09:05:00,0.0
1055,1,2018-07-04 09:10:00,0.04
1055,1,2018-07-04 09:15:00,0.0
1055,1,2018-07-04 09:20:00,0.0
1055,1,2018-07-04 09:25:00,0.0
1055,1,2018-07-04 09:30:00,0.0
1055,1,2018-07-04 09:35:00,0.0
1055,1,2018-07-04 09:40:00,0.0
1055,1,2018-07-04 09:45:00,0.0
1055,1,2018-07-04 09:50:00,0.0
1055,1,2018-07-04 09:55:00,0.0
1055,1,2018-07-04 10:00:00,0.0
1055,1,2018-07-04 10:05:00,0.0
1055,1,2018-07-04 10:10:00,0.04
1055,1,2018-07-04 10:15:00,0.0
1055,1,2018-07-04 10:20:00,0.04
1055,1,2018-07-04 10:25:00,0.0
1055,1,2018-07-04 10:30:00,0.12
1055,1,2018-07-04 10:35:00,0.08
1055,1,2018-07-04 10:40:00,0.12
1055,1,2018-07-04 10:45:00,0.08
1055,1,2018-07-04 10:50:00,0.08
1055,1,2018-07-04 10:55:00,0.2
1055,1,2018-07-04 11:00:00,0.16
1055,1,2018-07-04 11:05:00,0.12
1055,1,2018-07-04 11:10:00,0.12
1055,1,2018-07-04 11:15:00,0.12
1055,1,2018-07-04 11:20:00,0.08
1055,1,2018-07-04 11:25:00,0.12
1055,1,2018-07-04 11:30:00,0.04
1055,1,2018-07-04 11:35:00,0.16
1055,1,2018-07-04 11:40:00,0.12
1055,1,2018-07-04 11:45:00,0.16
1055,1,2018-07-04 11:50:00,0.08
1055,1,2018-07-04 11:55:00,0.16
1055,1,2018-07-04 12:00:00,0.08
1055,1,2018-07-04 12:05:00,0.08
1055,1,2018-07-04 12:10:00,0.08
1055,1,2018-07-04 12:15:00,0.04
1055,1,2018-07-04 12:20:00,0.08
1055,1,2018-07-04 12:25:00,0.04
1055,1,2018-07-04 12:30:00,0.08
1055,1,2018-07-04 12:35:00,0.08
1055,1,2018-07-04 12:40:00,0.04
1055,1,2018-07-04 12:45:00,0.04
1055,1,2018-07-04 12:50:00,0.08
1055,1,2018-07-04 12:55:00,0.04
1055,1,2018-07-04 13:00:00,0.08
1055,1,2018-07-04 13:05:00,0.04
1055,1,2018-07-04 13:10:00,0.08
1055,1,2018-07-04 13:15:00,0.08
1055,1,2018-07-04 13:20:00,0.08
1055,1,2018-07-04 13:25:00,0.08
1055,1,2018-07-04 13:30:00,0.04
1055,1,2018-07-04 13:35:00,0.04
1055,1,2018-07-04 13:40:00,0.0
1055,1,2018-07-04 13:45:00,0.04
1055,1,2018-07-04 13:50:00,0.04
1055,1,2018-07-04 13:55:00,0.0
1055,2,2018-07-08 12:00:00,0.0
1055,2,2018-07-08 12:05:00,0.0
1055,2,2018-07-08 12:10:00,0.0
1055,2,2018-07-08 12:15:00,0.0
1055,2,2018-07-08 12:20:00,0.0
1055,2,2018-07-08 12:25:00,0.0
1055,2,2018-07-08 12:30:00,0.0
1055,2,2018-07-08 12:35:00,0.0
1055,2,2018-07-08 12:40:00,0.0
1055,2,2018-07-08 12:45:00,0.0
1055,2,2018-07-08 12:50:00,0.0
1055,2,2018-07-08 12:55:00,0.0
1055,2,2018-07-08 13:00:00,0.0
1055,2,2018-07-08 13:05:00,0.0
1055,2,2018-07-08 13:10:00,0.0
1055,2,2018-07-08 13:15:00,0.0
1055,2,2018-07-08 13:20:00,0.0
1055,2,2018-07-08 13:25:00,0.0
1055,2,2018-07-08 13:30:00,0.0
1055,2,2018-07-08 13:35:00,0.0
1055,2,2018-07-08 13:40:00,0.0
1055,2,2018-07-08 13:45:00,0.0
1055,2,2018-07-08 13:50:00,0.0
1055,2,2018-07-08 13:55:00,0.04
1055,2,2018-07-08 14:00:00,0.12
1055,2,2018-07-08 14:05:00,0.12
1055,2,2018-07-08 14:10:00,0.04
1055,2,2018-07-08 14:15:00,0.0
1055,2,2018-07-08 14:20:00,0.0
1055,2,2018-07-08 14:25:00,0.0
1055,2,2018-07-08 14:30:00,0.0
1055,2,2018-07-08 14:35:00,0.0
1055,2,2018-07-08 14:40:00,0.0
1055,2,2018-07-08 14:45:00,0.0
1055,2,2018-07-08 14:50:00,0.0
1055,2,2018-07-08 14:55:00,0.0
1055,2,2018-07-08 15:00:00,0.0
1055,2,2018-07-08 15:05:00,0.0
1055,2,2018-07-08 15:10:00,0.0
1055,2,2018-07-08 15:15:00,0.0
1055,2,2018-07-08 15:20:00,0.0
