att_name,sig_event_number,Timestamp,value
405,2,2018-12-13 07:40:00,0.0
405,2,2018-12-13 07:45:00,0.0
405,2,2018-12-13 07:50:00,0.0
405,2,2018-12-13 07:55:00,0.0
405,2,2018-12-13 08:00:00,0.0
405,2,2018-12-13 08:05:00,0.0
405,3,2018-12-27 04:10:00,0.0
405,3,2018-12-27 04:15:00,0.0
405,3,2018-12-27 04:20:00,0.0
405,3,2018-12-27 04:25:00,0.0
405,3,2018-12-27 04:30:00,0.0
405,3,2018-12-27 04:35:00,0.0
405,3,2018-12-27 04:40:00,0.0
405,3,2018-12-27 04:45:00,0.0
405,3,2018-12-27 04:50:00,0.0
405,3,2018-12-27 04:55:00,0.0
405,3,2018-12-27 05:00:00,0.0
405,3,2018-12-27 05:05:00,0.0
405,3,2018-12-27 05:10:00,0.0
405,3,2018-12-27 05:15:00,0.0
405,3,2018-12-27 05:20:00,0.0
405,3,2018-12-27 05:25:00,0.0
405,3,2018-12-27 05:30:00,0.0
405,3,2018-12-27 05:35:00,0.0
405,3,2018-12-27 05:40:00,0.0
405,3,2018-12-27 05:45:00,0.04
405,3,2018-12-27 05:50:00,0.0
405,3,2018-12-27 05:55:00,0.04
405,3,2018-12-27 06:00:00,0.04
405,3,2018-12-27 06:05:00,0.0
405,3,2018-12-27 06:10:00,0.12
405,3,2018-12-27 06:15:00,0.16
405,3,2018-12-27 06:20:00,0.12
405,3,2018-12-27 06:25:00,0.08
405,3,2018-12-27 06:30:00,0.04
405,3,2018-12-27 06:35:00,0.04
405,3,2018-12-27 06:40:00,0.04
405,3,2018-12-27 06:45:00,0.04
405,3,2018-12-27 06:50:00,0.0
405,3,2018-12-27 06:55:00,0.0
405,3,2018-12-27 07:00:00,0.04
405,3,2018-12-27 07:05:00,0.0
405,3,2018-12-27 07:10:00,0.04
405,3,2018-12-27 07:15:00,0.04
405,3,2018-12-27 07:20:00,0.04
405,3,2018-12-27 07:25:00,0.04
405,3,2018-12-27 07:30:00,0.0
405,3,2018-12-27 07:35:00,0.0
405,3,2018-12-27 07:40:00,0.04
405,3,2018-12-27 07:45:00,0.04
405,3,2018-12-27 07:50:00,0.04
405,3,2018-12-27 07:55:00,0.08
405,3,2018-12-27 08:00:00,0.04
405,3,2018-12-27 08:05:00,0.04
405,3,2018-12-27 08:10:00,0.0
405,3,2018-12-27 08:15:00,0.08
405,3,2018-12-27 08:20:00,0.0
405,4,2019-01-02 17:05:00,0.0
405,4,2019-01-02 17:10:00,0.0
405,4,2019-01-02 17:15:00,0.0
405,4,2019-01-02 17:20:00,0.04
405,4,2019-01-02 17:25:00,0.0
405,4,2019-01-02 17:30:00,0.0
405,4,2019-01-02 17:35:00,0.0
405,4,2019-01-02 17:40:00,0.0
405,4,2019-01-02 17:45:00,0.0
405,4,2019-01-02 17:50:00,0.0
405,4,2019-01-02 17:55:00,0.0
405,4,2019-01-02 18:00:00,0.0
405,4,2019-01-02 18:05:00,0.0
405,4,2019-01-02 18:10:00,0.0
405,4,2019-01-02 18:15:00,0.04
405,4,2019-01-02 18:20:00,0.0
405,4,2019-01-02 18:25:00,0.0
405,4,2019-01-02 18:30:00,0.0
405,4,2019-01-02 18:35:00,0.0
405,4,2019-01-02 18:40:00,0.0
405,4,2019-01-02 18:45:00,0.04
405,4,2019-01-02 18:50:00,0.0
405,4,2019-01-02 18:55:00,0.0
405,4,2019-01-02 19:00:00,0.04
405,4,2019-01-02 19:05:00,0.16
405,4,2019-01-02 19:10:00,0.12
405,4,2019-01-02 19:15:00,0.08
405,4,2019-01-02 19:20:00,0.08
405,4,2019-01-02 19:25:00,0.08
405,4,2019-01-02 19:30:00,0.08
405,4,2019-01-02 19:35:00,0.08
405,4,2019-01-02 19:40:00,0.0
405,4,2019-01-02 19:45:00,0.0
405,4,2019-01-02 19:50:00,0.0
405,4,2019-01-02 19:55:00,0.04
405,4,2019-01-02 20:00:00,0.0
405,4,2019-01-02 20:05:00,0.0
405,4,2019-01-02 20:10:00,0.0
405,4,2019-01-02 20:15:00,0.0
405,4,2019-01-02 20:20:00,0.04
405,4,2019-01-02 20:25:00,0.12
405,4,2019-01-02 20:30:00,0.12
405,4,2019-01-02 20:35:00,0.0
405,4,2019-01-02 20:40:00,0.04
405,4,2019-01-02 20:45:00,0.0
405,4,2019-01-02 20:50:00,0.0
405,4,2019-01-02 20:55:00,0.0
405,4,2019-01-02 21:00:00,0.0
405,4,2019-01-02 21:05:00,0.0
405,4,2019-01-02 21:10:00,0.0
405,4,2019-01-02 21:15:00,0.0
405,4,2019-01-02 21:20:00,0.0
405,4,2019-01-02 21:25:00,0.0
405,4,2019-01-02 21:30:00,0.0
405,4,2019-01-02 21:35:00,0.0
405,4,2019-01-02 21:40:00,0.0
405,4,2019-01-02 21:45:00,0.0
405,4,2019-01-02 21:50:00,0.0
405,4,2019-01-02 21:55:00,0.0
405,4,2019-01-02 22:00:00,0.0
405,4,2019-01-02 22:05:00,0.04
405,4,2019-01-02 22:10:00,0.0
405,4,2019-01-02 22:15:00,0.0
405,4,2019-01-02 22:20:00,0.0
405,4,2019-01-02 22:25:00,0.0
405,4,2019-01-02 22:30:00,0.0
405,5,2019-01-12 02:10:00,0.04
405,5,2019-01-12 02:15:00,0.0
405,5,2019-01-12 02:20:00,0.04
405,5,2019-01-12 02:25:00,0.04
405,5,2019-01-12 02:30:00,0.0
405,5,2019-01-12 02:35:00,0.04
405,5,2019-01-12 02:40:00,0.04
405,5,2019-01-12 02:45:00,0.0
405,5,2019-01-12 02:50:00,0.0
405,5,2019-01-12 02:55:00,0.04
405,5,2019-01-12 03:00:00,0.0
405,5,2019-01-12 03:05:00,0.0
405,5,2019-01-12 03:10:00,0.0
405,5,2019-01-12 03:15:00,0.0
405,5,2019-01-12 03:20:00,0.0
405,5,2019-01-12 03:25:00,0.0
405,5,2019-01-12 03:30:00,0.0
405,5,2019-01-12 03:35:00,0.0
405,5,2019-01-12 03:40:00,0.0
405,5,2019-01-12 03:45:00,0.0
405,5,2019-01-12 03:50:00,0.0
405,5,2019-01-12 03:55:00,0.0
405,5,2019-01-12 04:00:00,0.0
405,5,2019-01-12 04:05:00,0.04
405,5,2019-01-12 04:10:00,0.12
405,5,2019-01-12 04:15:00,0.0
405,5,2019-01-12 04:20:00,0.0
405,5,2019-01-12 04:25:00,0.0
405,5,2019-01-12 04:30:00,0.0
405,5,2019-01-12 04:35:00,0.0
405,5,2019-01-12 04:40:00,0.0
405,5,2019-01-12 04:45:00,0.0
405,5,2019-01-12 04:50:00,0.0
405,5,2019-01-12 04:55:00,0.0
405,5,2019-01-12 05:00:00,0.0
405,5,2019-01-12 05:05:00,0.0
405,5,2019-01-12 05:10:00,0.0
405,5,2019-01-12 05:15:00,0.0
405,5,2019-01-12 05:20:00,0.0
405,5,2019-01-12 05:25:00,0.0
405,5,2019-01-12 05:30:00,0.0
405,5,2019-01-12 05:35:00,0.0
405,5,2019-01-12 05:40:00,0.0
405,5,2019-01-12 05:45:00,0.0
405,5,2019-01-12 05:50:00,0.0
405,5,2019-01-12 05:55:00,0.0
405,5,2019-01-12 06:00:00,0.0
405,5,2019-01-12 06:05:00,0.0
405,5,2019-01-12 06:10:00,0.0
405,6,2019-01-19 02:00:00,0.0
405,6,2019-01-19 02:05:00,0.0
405,6,2019-01-19 02:10:00,0.0
405,6,2019-01-19 02:15:00,0.0
405,6,2019-01-19 02:20:00,0.0
405,6,2019-01-19 02:25:00,0.0
405,6,2019-01-19 02:30:00,0.0
405,6,2019-01-19 02:35:00,0.0
405,6,2019-01-19 02:40:00,0.0
405,6,2019-01-19 02:45:00,0.0
405,6,2019-01-19 02:50:00,0.0
405,6,2019-01-19 02:55:00,0.0
405,6,2019-01-19 03:00:00,0.0
405,6,2019-01-19 03:05:00,0.0
405,6,2019-01-19 03:10:00,0.0
405,6,2019-01-19 03:15:00,0.0
405,6,2019-01-19 03:20:00,0.0
405,6,2019-01-19 03:25:00,0.0
405,6,2019-01-19 03:30:00,0.0
405,6,2019-01-19 03:35:00,0.0
405,6,2019-01-19 03:40:00,0.0
405,6,2019-01-19 03:45:00,0.0
405,6,2019-01-19 03:50:00,0.04
405,6,2019-01-19 03:55:00,0.08
405,6,2019-01-19 04:00:00,0.12
405,6,2019-01-19 04:05:00,0.32
